filename,time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec)
xa.s12.00.mhz.1974-10-02HR00_evid00572,1974-10-02T00:28:47.817170,1727.5471698113208
xa.s12.00.mhz.1974-10-02HR00_evid00572,1974-10-02T13:30:45.703962,48645.43396226415
xa.s12.00.mhz.1974-10-02HR00_evid00572,1974-10-02T21:09:40.043585,76179.77358490566
xa.s12.00.mhz.1973-10-03HR03_evid00461,1973-10-03T13:28:45.292492,34172.67924528302
xa.s12.00.mhz.1970-07-27HR00_evid00039,1970-07-27T03:40:27.999698,13227.471698113208
xa.s12.00.mhz.1970-07-27HR00_evid00039,1970-07-27T17:28:51.697811,62931.16981132075
xa.s12.00.mhz.1970-07-27HR00_evid00039,1970-07-27T19:48:32.528000,71312.0
xa.s12.00.mhz.1970-07-27HR00_evid00039,1970-07-27T20:06:23.320453,72382.7924528302
xa.s12.00.mhz.1970-10-26HR00_evid00049,1970-10-26T14:21:12.891717,51672.75471698113
xa.s12.00.mhz.1970-10-26HR00_evid00049,1970-10-26T15:40:50.401151,56450.264150943396
xa.s12.00.mhz.1970-10-26HR00_evid00049,1970-10-26T16:33:18.929453,59598.79245283019
xa.s12.00.mhz.1970-10-26HR00_evid00049,1970-10-26T16:49:59.080396,60598.943396226416
xa.s12.00.mhz.1971-11-24HR00_evid00156,1971-11-24T06:59:00.952245,25140.67924528302
xa.s12.00.mhz.1971-10-26HR00_evid00133,1971-10-26T04:27:45.789547,16065.207547169812
xa.s12.00.mhz.1971-10-26HR00_evid00133,1971-10-26T04:42:03.449925,16922.867924528302
xa.s12.00.mhz.1971-10-26HR00_evid00133,1971-10-26T05:18:09.185774,19088.603773584906
xa.s12.00.mhz.1971-10-26HR00_evid00133,1971-10-26T08:43:57.865019,31437.283018867925
xa.s12.00.mhz.1971-10-26HR00_evid00133,1971-10-26T11:49:31.902755,42571.32075471698
xa.s12.00.mhz.1971-10-26HR00_evid00133,1971-10-26T17:53:29.638604,64409.056603773584
xa.s12.00.mhz.1971-10-26HR00_evid00133,1971-10-26T19:05:46.242377,68745.6603773585
xa.s12.00.mhz.1971-01-17HR00_evid00060,1971-01-17T14:20:48.761774,51648.6037735849
xa.s12.00.mhz.1971-01-17HR00_evid00060,1971-01-17T17:54:45.742906,64485.58490566038
xa.s12.00.mhz.1971-10-06HR00_evid00124,1971-10-06T00:49:09.345075,2949.132075471698
xa.s12.00.mhz.1971-10-06HR00_evid00124,1971-10-06T00:59:20.816774,3560.603773584906
xa.s12.00.mhz.1971-10-06HR00_evid00124,1971-10-06T07:46:16.665830,27976.45283018868
xa.s12.00.mhz.1971-10-06HR00_evid00124,1971-10-06T10:54:38.854509,39278.64150943396
xa.s12.00.mhz.1970-03-30HR00_evid00020,1970-03-30T00:12:09.239237,719.8490566037735
xa.s12.00.mhz.1970-03-30HR00_evid00020,1970-03-30T00:21:52.031689,1302.6415094339623
xa.s12.00.mhz.1970-03-30HR00_evid00020,1970-03-30T00:28:36.559991,1707.1698113207547
xa.s12.00.mhz.1970-03-30HR00_evid00020,1970-03-30T00:34:09.239237,2039.8490566037735
xa.s12.00.mhz.1970-03-30HR00_evid00020,1970-03-30T00:47:19.276972,2829.8867924528304
xa.s12.00.mhz.1970-03-30HR00_evid00020,1970-03-30T07:31:43.427916,27094.037735849055
xa.s12.00.mhz.1970-03-30HR00_evid00020,1970-03-30T12:54:42.446784,46473.056603773584
xa.s12.00.mhz.1970-03-30HR00_evid00020,1970-03-30T13:45:39.956218,49530.56603773585
xa.s12.00.mhz.1970-03-30HR00_evid00020,1970-03-30T14:21:12.937350,51663.54716981132
xa.s12.00.mhz.1970-03-30HR00_evid00020,1970-03-30T17:41:37.390180,63688.0
xa.s12.00.mhz.1970-03-30HR00_evid00020,1970-03-30T22:09:42.371312,79772.98113207547
xa.s12.00.mhz.1971-01-05HR00_evid00059,1971-01-05T00:53:00.486585,3179.7735849056603
xa.s12.00.mhz.1971-01-05HR00_evid00059,1971-01-05T12:49:52.411113,46191.698113207545
xa.s12.00.mhz.1970-02-07HR00_evid00014,1970-02-07T01:34:15.816283,5655.245283018868
xa.s12.00.mhz.1970-02-07HR00_evid00014,1970-02-07T02:47:02.457792,10021.88679245283
xa.s12.00.mhz.1970-02-07HR00_evid00014,1970-02-07T03:26:42.684208,12402.11320754717
xa.s12.00.mhz.1970-02-07HR00_evid00014,1970-02-07T03:44:52.646472,13492.075471698114
xa.s12.00.mhz.1970-02-07HR00_evid00014,1970-02-07T15:33:28.269113,56007.698113207545
xa.s12.00.mhz.1970-02-07HR00_evid00014,1970-02-07T16:29:58.306849,59397.735849056604
xa.s12.00.mhz.1970-02-07HR00_evid00014,1970-02-07T18:54:16.420057,68055.84905660378
xa.s12.00.mhz.1970-02-07HR00_evid00014,1970-02-07T21:21:08.495528,76867.92452830188
xa.s12.00.mhz.1970-02-07HR00_evid00014,1970-02-07T22:28:44.193642,80923.62264150943
xa.s12.00.mhz.1971-06-27HR00_evid00101,1971-06-27T06:30:20.910245,23420.67924528302
xa.s12.00.mhz.1971-06-27HR00_evid00101,1971-06-27T08:38:20.457415,31100.22641509434
xa.s12.00.mhz.1971-06-27HR00_evid00101,1971-06-27T16:44:58.042321,60297.811320754714
xa.s12.00.mhz.1971-06-27HR00_evid00101,1971-06-27T18:54:57.136660,68096.90566037736
xa.s12.00.mhz.1974-07-25HR05_evid00553,1974-07-25T14:19:12.269979,33301.28301886792
xa.s12.00.mhz.1972-11-14HR00_evid00331,1972-11-14T08:03:31.279038,29010.56603773585
xa.s12.00.mhz.1972-11-14HR00_evid00331,1972-11-14T19:23:46.373377,69825.6603773585
xa.s12.00.mhz.1970-04-03HR00_evid00021,1970-04-03T07:22:19.972642,26539.622641509435
xa.s12.00.mhz.1970-04-03HR00_evid00021,1970-04-03T10:49:26.991509,38966.64150943396
xa.s12.00.mhz.1970-04-03HR00_evid00021,1970-04-03T11:41:08.425472,42068.07547169811
xa.s12.00.mhz.1970-04-03HR00_evid00021,1970-04-03T15:45:51.142453,56750.79245283019
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T04:40:07.460453,16806.79245283019
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T05:19:57.800075,19197.132075471698
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T15:11:57.196302,54716.52830188679
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T15:15:54.328377,54953.660377358494
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T18:24:55.762340,66295.09433962264
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T18:29:21.875547,66561.2075471698
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T18:39:15.535925,67154.8679245283
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T18:55:40.894415,68140.22641509434
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T18:59:34.101962,68373.43396226416
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T19:16:46.101962,69405.43396226416
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T19:52:54.856679,71574.18867924529
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T20:01:44.668000,72104.0
xa.s12.00.mhz.1970-05-24HR00_evid00028,1970-05-24T20:26:17.573660,73576.90566037736
xa.s12.00.mhz.1971-10-06HR00_evid00125,1971-10-06T00:49:09.345075,2949.132075471698
xa.s12.00.mhz.1971-10-06HR00_evid00125,1971-10-06T00:59:20.816774,3560.603773584906
xa.s12.00.mhz.1971-10-06HR00_evid00125,1971-10-06T07:46:16.665830,27976.45283018868
xa.s12.00.mhz.1971-10-06HR00_evid00125,1971-10-06T10:54:38.854509,39278.64150943396
xa.s12.00.mhz.1971-05-22HR00_evid00092,1971-05-22T17:48:25.744547,64105.20754716981
xa.s12.00.mhz.1971-05-22HR00_evid00092,1971-05-22T17:56:19.253981,64578.71698113208
xa.s12.00.mhz.1972-12-15HR00_evid00349,1972-12-15T06:56:07.028623,24966.33962264151
xa.s12.00.mhz.1972-12-15HR00_evid00349,1972-12-15T11:46:21.368245,42380.67924528302
xa.s12.00.mhz.1972-12-15HR00_evid00349,1972-12-15T21:19:31.556925,76770.8679245283
xa.s12.00.mhz.1970-09-09HR00_evid00043,1970-09-09T12:13:12.879717,43992.75471698113
xa.s12.00.mhz.1973-11-22HR00_evid00475,1973-11-22T13:56:25.715604,50185.056603773584
xa.s12.00.mhz.1973-11-22HR00_evid00475,1973-11-22T15:12:44.885415,54764.22641509434
xa.s12.00.mhz.1973-11-22HR00_evid00475,1973-11-22T19:58:07.904283,71887.24528301887
xa.s12.00.mhz.1973-11-22HR00_evid00475,1973-11-22T21:45:59.904283,78359.24528301887
xa.s12.00.mhz.1973-11-22HR00_evid00475,1973-11-22T21:59:25.338245,79164.67924528301
xa.s12.00.mhz.1975-05-20HR00_evid00652,1975-05-20T12:58:33.610604,46713.056603773584
xa.s12.00.mhz.1975-05-20HR00_evid00652,1975-05-20T17:31:04.554000,63064.0
xa.s12.00.mhz.1970-05-25HR00_evid00029,1970-05-25T02:36:42.055434,9401.509433962265
xa.s12.00.mhz.1970-05-25HR00_evid00029,1970-05-25T12:15:39.866755,44139.32075471698
xa.s12.00.mhz.1970-05-25HR00_evid00029,1970-05-25T14:21:11.338453,51670.79245283019
xa.s12.00.mhz.1970-03-14HR00_evid00018,1970-03-14T12:41:08.746415,45668.22641509434
xa.s12.00.mhz.1972-01-26HR00_evid00186,1972-01-26T03:14:16.941774,11656.603773584906
xa.s12.00.mhz.1972-01-26HR00_evid00186,1972-01-26T05:12:42.300264,18761.962264150945
xa.s12.00.mhz.1972-01-26HR00_evid00186,1972-01-26T05:42:19.507811,20539.169811320753
xa.s12.00.mhz.1972-01-26HR00_evid00186,1972-01-26T08:32:09.847434,30729.509433962263
xa.s12.00.mhz.1972-01-26HR00_evid00186,1972-01-26T14:21:31.205925,51690.8679245283
xa.s12.00.mhz.1972-01-26HR00_evid00186,1972-01-26T14:49:20.488943,53360.15094339623
xa.s12.00.mhz.1972-01-26HR00_evid00186,1972-01-26T16:22:20.564415,58940.22641509434
xa.s12.00.mhz.1972-01-26HR00_evid00186,1972-01-26T16:58:31.281396,61110.943396226416
xa.s12.00.mhz.1972-01-26HR00_evid00186,1972-01-26T18:25:15.507811,66315.16981132075
xa.s12.00.mhz.1972-01-26HR00_evid00186,1972-01-26T22:31:08.111585,81067.77358490566
xa.s12.00.mhz.1970-06-19HR00_evid00031,1970-06-19T05:31:41.898849,19901.735849056604
xa.s12.00.mhz.1970-06-19HR00_evid00031,1970-06-19T15:47:23.181868,56843.018867924526
xa.s12.00.mhz.1970-06-19HR00_evid00031,1970-06-19T21:29:57.747906,77397.58490566038
xa.s12.00.mhz.1970-07-20HR00_evid00037,1970-07-20T03:25:04.637943,12304.150943396226
xa.s12.00.mhz.1970-07-20HR00_evid00037,1970-07-20T05:06:57.392660,18416.905660377357
xa.s12.00.mhz.1970-07-20HR00_evid00037,1970-07-20T11:44:51.958698,42291.47169811321
xa.s12.00.mhz.1970-07-20HR00_evid00037,1970-07-20T12:30:24.637943,45024.15094339623
xa.s12.00.mhz.1970-11-03HR00_evid00050,1970-11-03T08:38:14.130849,31093.735849056604
xa.s12.00.mhz.1970-11-03HR00_evid00050,1970-11-03T17:17:26.583679,62246.188679245286
xa.s12.00.mhz.1971-03-15HR00_evid00073,1971-03-15T02:55:33.590075,10533.132075471698
xa.s12.00.mhz.1971-03-15HR00_evid00073,1971-03-15T04:20:36.684415,15636.22641509434
xa.s12.00.mhz.1971-03-15HR00_evid00073,1971-03-15T08:34:11.174981,30850.716981132075
xa.s12.00.mhz.1971-03-15HR00_evid00073,1971-03-15T10:18:13.288189,37092.83018867925
xa.s12.00.mhz.1971-03-15HR00_evid00073,1971-03-15T14:55:38.420264,53737.96226415094
xa.s12.00.mhz.1972-12-06HR00_evid00342,1972-12-06T09:48:09.022774,35288.6037735849
xa.s12.00.mhz.1972-12-06HR00_evid00342,1972-12-06T14:15:29.626547,51329.20754716981
xa.s12.00.mhz.1972-12-06HR00_evid00342,1972-12-06T20:06:49.777491,72409.35849056604
xa.s12.00.mhz.1973-08-08HR00_evid00437,1973-08-08T16:03:05.954087,57767.3962264151
xa.s12.00.mhz.1973-08-08HR00_evid00437,1973-08-08T17:23:16.671069,62578.11320754717
xa.s12.00.mhz.1972-05-15HR00_evid00223,1972-05-15T02:00:39.204396,7238.943396226415
xa.s12.00.mhz.1972-05-15HR00_evid00223,1972-05-15T17:35:28.110057,63327.84905660377
xa.s12.00.mhz.1971-01-03HR00_evid00057,1971-01-03T01:38:31.442283,5911.245283018868
xa.s12.00.mhz.1971-01-03HR00_evid00057,1971-01-03T11:01:23.366811,39683.16981132075
xa.s12.00.mhz.1970-07-17HR00_evid00035,1970-07-17T15:36:44.755472,56204.07547169811
xa.s12.00.mhz.1972-02-28HR00_evid00192,1972-02-28T12:41:26.687623,45686.339622641506
xa.s12.00.mhz.1972-02-28HR00_evid00192,1972-02-28T16:02:55.291396,57774.943396226416
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T00:43:47.620698,2627.4716981132074
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T01:42:57.658434,6177.509433962264
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T08:09:22.413151,29362.264150943396
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T09:25:32.375415,33932.22641509434
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T10:51:44.601830,39104.45283018868
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T12:12:31.998057,43951.84905660377
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T13:39:33.432019,49173.28301886792
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T14:37:06.865981,52626.71698113208
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T14:41:46.564094,52906.41509433962
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T19:11:55.318811,69115.16981132075
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T19:16:15.545226,69375.39622641509
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T19:37:31.771642,70651.62264150943
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T19:56:04.073528,71763.92452830188
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T20:55:59.092396,75358.94339622642
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T21:00:39.394283,75639.24528301887
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T21:41:32.979189,78092.83018867925
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T21:57:21.356547,79041.2075471698
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T22:50:02.111264,82201.96226415095
xa.s12.00.mhz.1970-02-18HR00_evid00016,1970-02-18T22:55:43.696170,82543.54716981133
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T13:58:38.685679,50318.188679245286
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T15:43:49.327189,56628.83018867925
xa.s12.00.mhz.1973-04-23HR00_evid00399,1973-04-23T19:58:10.912094,71890.41509433962
xa.s12.00.mhz.1970-07-18HR00_evid00036,1970-07-18T12:28:18.126377,44897.660377358494
xa.s12.00.mhz.1970-07-18HR00_evid00036,1970-07-18T15:56:38.956566,57398.49056603773
xa.s12.00.mhz.1970-07-18HR00_evid00036,1970-07-18T21:18:59.182981,76738.71698113208
xa.s12.00.mhz.1977-09-13HR00_evid01012,1977-09-13T06:05:54.872094,21954.415094339623
xa.s12.00.mhz.1977-09-13HR00_evid01012,1977-09-13T17:01:46.117377,61305.660377358494
xa.s12.00.mhz.1977-09-13HR00_evid01012,1977-09-13T20:34:00.909830,74040.45283018867
xa.s12.00.mhz.1977-09-13HR00_evid01012,1977-09-13T23:10:03.324925,83402.8679245283
xa.s12.00.mhz.1975-05-16HR00_evid00651,1975-05-16T00:40:56.374943,2456.1509433962265
xa.s12.00.mhz.1977-04-24HR00_evid00923,1977-04-24T16:17:26.621679,58646.188679245286
xa.s12.00.mhz.1977-04-24HR00_evid00923,1977-04-24T20:04:05.866962,72245.43396226416
xa.s12.00.mhz.1975-06-15HR00_evid00660,1975-06-15T00:16:57.695491,1017.3584905660377
xa.s12.00.mhz.1975-06-15HR00_evid00660,1975-06-15T03:55:07.506811,14107.169811320755
xa.s12.00.mhz.1971-04-08HR01_evid00083,1971-04-08T07:05:00.398178,20023.396226415094
xa.s12.00.mhz.1971-04-08HR01_evid00083,1971-04-08T09:05:53.983084,27276.98113207547
xa.s12.00.mhz.1974-05-09HR00_evid00522,1974-05-09T13:35:40.608528,48939.92452830189
xa.s12.00.mhz.1974-05-09HR00_evid00522,1974-05-09T21:50:56.684000,78656.0
xa.s12.00.mhz.1974-05-09HR00_evid00522,1974-05-09T22:24:45.212302,80684.52830188679
xa.s12.00.mhz.1972-12-02HR00_evid00341,1972-12-02T15:54:39.382396,57278.943396226416
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T02:03:48.201472,7428.075471698113
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T10:05:11.824113,36311.698113207545
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T10:24:38.465623,37478.339622641506
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T14:21:21.333547,51681.20754716981
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T16:23:06.842981,58986.71698113208
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T17:32:22.918453,63142.79245283019
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T21:00:25.786377,75625.6603773585
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T21:29:53.333547,77393.2075471698
xa.s12.00.mhz.1970-01-09HR00_evid00007,1970-01-09T21:32:53.258075,77573.1320754717
